run_id,created_at_utc,assumption_hash,methodology_version,approval_status,projection_rows,total_bel,total_ra,total_csm_opening,total_csm_closing
390ddc551bc2408caf86da85d54efb9a,2026-05-18T08:45:51.780604+00:00,4441aa2e8b7b84c8ee80380842a8f15de3859affba9893ecdc3289fa07234c5e,ifrs17-term-life-educational-v1,development,100000,1191099.0286412071,66741.078125,967797.51453515,883091.3013189852
e1aba90dfb524bafb9464e464252f37c,2026-05-18T10:27:13.207104+00:00,bc8adfb21fc2e14440b138667f900b4367f67d870918f02fc4f281778bc2d42a,ifrs17-term-life-educational-v1,development,100000,634538.4205067127,83853.3671875,1067105.6762768477,973633.2473476
8775949e5eb24276a2dab2cf6e3bb95b,2026-05-18T10:29:14.340082+00:00,d91aeb41e8fa33feb27a76ac7ab43d8e32018cd4f1cb74b16a3a52fa85beeffb,ifrs17-term-life-educational-v1,development,100000,640776.9917306935,83715.640625,1061564.4902978572,968768.5564629984
fae1f9f90ca64aee9490a50e984f5eb6,2026-05-18T10:35:22.377359+00:00,d91aeb41e8fa33feb27a76ac7ab43d8e32018cd4f1cb74b16a3a52fa85beeffb,ifrs17-term-life-educational-v1,development,100000,640776.9917306935,83715.640625,1061564.4902978572,968768.5564629984
6e85ef0653fd4846b1c233ad093e8af2,2026-05-21T15:34:18.207878+00:00,9b02095251806a4f3779c98716e029f7fb17f8d371dcfe6d28ffef1ec48b4313,ifrs17-term-life-educational-v1,development,300000,1945419.8469297201,251088.46875,3183403.078170007,2905223.4265840705
af1fd2be7ad54cb98bff48b463627759,2026-05-21T15:54:33.175506+00:00,b495f3cf2cb61cfdf58da98af0f732d29f79af5d1d7bdf8210d8ac73d29738bf,ifrs17-term-life-educational-v1,development,1000000,6936757.458115799,830179.9375,10171173.907805797,9282023.29023519
