scenario,n_policies,Total_BEL,Total_RA,Total_CSM_Opening,Total_CSM_Closing,Onerous_Count,Onerous_Loss
base,100000,6936757.458115799,830179.9375,10171173.907805797,9282023.29023519,76554,17938111.313682176
discount_down_100bps,100000,6388502.056753131,854666.1875,11011638.944958955,10049235.088233858,75858,18254807.205273867
expense_up_15,100000,13751772.503689922,902537.875,8483268.875480259,7740462.036160834,81090,23137579.263962507
lapse_up_20,100000,7736085.723975247,801323.25,8996819.595191061,8143474.454220735,77650,17534228.580081113
mortality_up_10,100000,4243658.298598354,863302.625,11879002.193651106,10834232.47546053,74100,16985963.125280827
