scenario,n_policies,Total_BEL,Total_RA,Total_CSM_Opening,Total_CSM_Closing,Onerous_Count,Onerous_Loss
base,10000,622795.8473902511,83907.0625,1082112.6440018453,987520.8646482121,7614,1788815.5520758235
discount_down_100bps,10000,563672.8841711417,86419.515625,1170470.3009984905,1068177.6183741,7528,1820562.7011269876
expense_up_15,10000,1305740.6292882552,91127.9375,909394.2412736854,829774.7214743709,8073,2306262.804450376
lapse_up_20,10000,708746.6085768796,80977.0625,958858.7155648646,867916.7096164511,7730,1748582.3816478285
mortality_up_10,10000,347065.2139068172,87325.28125,1260137.1957475839,1149310.1934706892,7377,1694527.6965902075
